Name of Location,Address of Location,House Number,Street,City,State,Zip,Website,Email Address,Phone Number,Social Profiles,Name of Owner/Manager,Owner Email,Owner Phone,Mobile Groomer,Supported Zip Codes
South Park Doggie - Playland DTLA,"1320 S Grand Ave, Los Angeles, CA 90015",1320 S Grand Ave,,Los Angeles,CA,90015,https://www.yelp.com/biz/south-park-doggie-playland-dtla-los-angeles?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,12137473649,{},,,,,
South Park Doggie - Waterland LAX,"8613 Aviation Blvd, Inglewood, CA 90301",8613 Aviation Blvd,,Inglewood,CA,90301,https://www.yelp.com/biz/south-park-doggie-waterland-lax-inglewood-3?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,13104173649,{},,,,,
Karma Dog Training,"Los Angeles, CA 90048",,,Los Angeles,CA,90048,https://www.yelp.com/biz/karma-dog-training-los-angeles?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,13235339394,{},,,,,
Citydog! Club,"1815 Pontius Ave, Los Angeles, CA 90025",1815 Pontius Ave,,Los Angeles,CA,90025,https://www.yelp.com/biz/citydog-club-los-angeles-3?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,13104770364,{},,,,,
Paradise Ranch Pet Resort,"10268 La Tuna Canyon Rd, Sun Valley, CA 91352",10268 La Tuna Canyon Rd,,Sun Valley,CA,91352,https://www.yelp.com/biz/paradise-ranch-pet-resort-sun-valley?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,18183949557,{},,,,,
Puparazzi LA,"1933 Pontius Ave, Los Angeles, CA 90025",1933 Pontius Ave,,Los Angeles,CA,90025,https://www.yelp.com/biz/puparazzi-la-los-angeles-3?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,14243253151,{},,,,,
South Park Doggie - Adventureland South Bay,"945 W 190th St, Gardena, CA 90248",945 W 190th St,,Gardena,CA,90248,https://www.yelp.com/biz/south-park-doggie-adventureland-south-bay-gardena-2?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,13107566110,{},,,,,
Doggie Goddess Pet Services,"2347 Pontius Ave, Los Angeles, CA 90064",2347 Pontius Ave,,Los Angeles,CA,90064,https://www.yelp.com/biz/doggie-goddess-pet-services-los-angeles?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,14242930425,{},,,,,
K9 Loft,"495 S Arroyo Pkwy, Pasadena, CA 91105",495 S Arroyo Pkwy,,Pasadena,CA,91105,https://www.yelp.com/biz/k9-loft-pasadena?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,16267956060,{},,,,,
poshpetcare,"705 N Harper Ave, Los Angeles, CA 90046",705 N Harper Ave,,Los Angeles,CA,90046,https://www.yelp.com/biz/poshpetcare-los-angeles-5?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,13236557674,{},,,,,
Pet Rush Inn,"115 W Linden Ave, Burbank, CA 91502",115 W Linden Ave,,Burbank,CA,91502,https://www.yelp.com/biz/pet-rush-inn-burbank-4?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,18184714298,{},,,,,
Blue Dog Ranch,"110 W Linden Ave, Burbank, CA 91502",110 W Linden Ave,,Burbank,CA,91502,https://www.yelp.com/biz/blue-dog-ranch-burbank?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,18187290550,{},,,,,
K9s Only,"18603 Topham St, Tarzana, CA 91335",18603 Topham St,,Tarzana,CA,91335,https://www.yelp.com/biz/k9s-only-tarzana-2?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,18189214030,{},,,,,
Andy's Pet Grooming & Daycare,"13236 Riverside Dr, Sherman Oaks, CA 91423",13236 Riverside Dr,,Sherman Oaks,CA,91423,https://www.yelp.com/biz/andys-pet-grooming-and-daycare-sherman-oaks-3?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,18186163466,{},,,,,
Dog Resort - North Hollywood,"11911 Vose Street, Los Angeles, CA 91605",11911 Vose Street,,Los Angeles,CA,91605,https://www.yelp.com/biz/dog-resort-north-hollywood-los-angeles?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,18182555551,{},,,,,
Go Dog LA,"1728 Maple Ave, Los Angeles, CA 90015",1728 Maple Ave,,Los Angeles,CA,90015,https://www.yelp.com/biz/go-dog-la-los-angeles?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,12133649617,{},,,,,
Four Paws Day Care,"13125 Ventura Blvd, Studio City, CA 91604",13125 Ventura Blvd,,Studio City,CA,91604,https://www.yelp.com/biz/four-paws-day-care-studio-city?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,18189865700,{},,,,,
The Hounds Club,"520 W Windsor Rd, Glendale, CA 91204",520 W Windsor Rd,,Glendale,CA,91204,https://www.yelp.com/biz/the-hounds-club-glendale?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,13239547272,{},,,,,
Canyon View Ranch,"1558 Will Geer Rd, Topanga, CA 90290",1558 Will Geer Rd,,Topanga,CA,90290,https://www.yelp.com/biz/canyon-view-ranch-topanga?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,13104557897,{},,,,,
Ruff House Pet Resort,"3035 Chicago Ave, Riverside, CA 92507",3035 Chicago Ave,,Riverside,CA,92507,https://www.yelp.com/biz/ruff-house-pet-resort-riverside-5?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,19515881200,{},,,,,
Anaheim Hills Pet Clinic,"5799 E La Palma Ave, Anaheim, CA 92807",5799 E La Palma Ave,,Anaheim,CA,92807,https://www.yelp.com/biz/anaheim-hills-pet-clinic-anaheim-3?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,17147792101,{},,,,,
Bow Wow Bungalow,"2711 N California St, Burbank, CA 91504",2711 N California St,,Burbank,CA,91504,https://www.yelp.com/biz/bow-wow-bungalow-burbank?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,18185653555,{},,,,,
Elite Pet Care,"4500 Woodman Ave, Sherman Oaks, CA 91423",4500 Woodman Ave,,Sherman Oaks,CA,91423,https://www.yelp.com/biz/elite-pet-care-sherman-oaks-2?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,18186535483,{},,,,,
VCA PetPoint Medical Center and Resort,"2505 Da Vinci, Irvine, CA 92614",2505 Da Vinci,,Irvine,CA,92614,https://www.yelp.com/biz/vca-petpoint-medical-center-and-resort-irvine?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,19495225700,{},,,,,
Happy Heart Pet Care,"1730 Camino Palmero St, Los Angeles, CA 90046",1730 Camino Palmero St,,Los Angeles,CA,90046,https://www.yelp.com/biz/happy-heart-pet-care-los-angeles-3?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,13238070151,{},,,,,
Doggie Daycare & More,"1770 Newport Blvd, Costa Mesa, CA 92627",1770 Newport Blvd,,Costa Mesa,CA,92627,https://www.yelp.com/biz/doggie-daycare-and-more-costa-mesa?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,19497229663,{},,,,,
Pet Lovers Resort,"18416 Ventura Blvd, Tarzana, CA 91356",18416 Ventura Blvd,,Tarzana,CA,91356,https://www.yelp.com/biz/pet-lovers-resort-tarzana-2?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,18185785664,{},,,,,
Obedience Please Dog Training,"721 Fair Oaks Ave, South Pasadena, CA 91030",721 Fair Oaks Ave,,South Pasadena,CA,91030,https://www.yelp.com/biz/obedience-please-dog-training-south-pasadena-5?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,16267999614,{},,,,,
Plaza Del Amo Animal Hospital & Pet Keeper,"3430 Fujita St, Torrance, CA 90505",3430 Fujita St,,Torrance,CA,90505,https://www.yelp.com/biz/plaza-del-amo-animal-hospital-and-pet-keeper-torrance-2?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,13105305511,{},,,,,
Fancy Tails,"6 Pier Ave, Hermosa Beach, CA 90254",6 Pier Ave,,Hermosa Beach,CA,90254,https://www.yelp.com/biz/fancy-tails-hermosa-beach?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,13109374408,{},,,,,
Sit Means Sit San Gabriel Valley,"348 W Foothill Blvd, Glendora, CA 91741",348 W Foothill Blvd,,Glendora,CA,91741,https://www.yelp.com/biz/sit-means-sit-san-gabriel-valley-glendora?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,16268032275,{},,,,,
Rover Kennels,"2116 Main St, Ste B, Santa Monica, CA 90405",2116 Main St,Ste B,Santa Monica,CA,90405,https://www.yelp.com/biz/rover-kennels-santa-monica?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,13104500705,{},,,,,
Pawfection,"404 N Lake Ave, Pasadena, CA 91101",404 N Lake Ave,,Pasadena,CA,91101,https://www.yelp.com/biz/pawfection-pasadena-2?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,16265851455,{},,,,,
Topanga Pet Resort,"1776 Old Topanga Canyon Rd, Topanga, CA 90290",1776 Old Topanga Canyon Rd,,Topanga,CA,90290,https://www.yelp.com/biz/topanga-pet-resort-topanga?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,13104559663,{},,,,,
Paw Sweet Paw,"16811 Noyes Ave, Irvine, CA 92606",16811 Noyes Ave,,Irvine,CA,92606,https://www.yelp.com/biz/paw-sweet-paw-irvine-4?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,19493331465,{},,,,,
VCA Adler Animal Hospital and Pet Resort,"16911 Roscoe Blvd, North Hills, CA 91343",16911 Roscoe Blvd,,North Hills,CA,91343,https://www.yelp.com/biz/vca-adler-animal-hospital-and-pet-resort-north-hills?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,18188936366,{},,,,,
Beach City Dog Camp,"17970 Magnolia St, Fountain Valley, CA 92708",17970 Magnolia St,,Fountain Valley,CA,92708,https://www.yelp.com/biz/beach-city-dog-camp-fountain-valley?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,17149622232,{},,,,,
Chino Hills Animal Hospital & Pet Resort,"3415 Chino Ave, Chino, CA 91710",3415 Chino Ave,,Chino,CA,91710,https://www.yelp.com/biz/chino-hills-animal-hospital-and-pet-resort-chino?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,19095911805,{},,,,,
Rusty's Discount Pet Center,"11672 Ventura Blvd, Studio City, CA 91604",11672 Ventura Blvd,,Studio City,CA,91604,https://www.yelp.com/biz/rustys-discount-pet-center-studio-city?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,18187699085,{},,,,,
Camp Bow Wow Anaheim,"1431 N Daly St, Anaheim, CA 92806",1431 N Daly St,,Anaheim,CA,92806,https://www.yelp.com/biz/camp-bow-wow-anaheim-anaheim?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,17145332267,{},,,,,
Claws N Paws Day Spa,"18848 Brookhurst St, Fountain Valley, CA 92708",18848 Brookhurst St,,Fountain Valley,CA,92708,https://www.yelp.com/biz/claws-n-paws-day-spa-fountain-valley?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,17149621005,{},,,,,
DogOn Fun,"642 E Edna Pl, Covina, CA 91723",642 E Edna Pl,,Covina,CA,91723,https://www.yelp.com/biz/dogon-fun-covina?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,16263391354,{},,,,,
Bouquet Canyon Kennels,"29973 Bouquet Canyon Rd, Santa Clarita, CA 91390",29973 Bouquet Canyon Rd,,Santa Clarita,CA,91390,https://www.yelp.com/biz/bouquet-canyon-kennels-santa-clarita-2?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,16612975484,{},,,,,
Hydrant Pet Hotel,"776 W 17th St, Costa Mesa, CA 92627",776 W 17th St,,Costa Mesa,CA,92627,https://www.yelp.com/biz/hydrant-pet-hotel-costa-mesa?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,19492802200,{},,,,,
Barking Lodge Pet Resorts,"1221 Burt Pl, Fullerton, CA 92831",1221 Burt Pl,,Fullerton,CA,92831,https://www.yelp.com/biz/barking-lodge-pet-resorts-fullerton-2?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,17142781086,{},,,,,
Chino's Caring Kennel,"3890 Walnut Ave, Chino, CA 91710",3890 Walnut Ave,,Chino,CA,91710,https://www.yelp.com/biz/chinos-caring-kennel-chino?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,19096272212,{},,,,,
VCA Laguna Niguel Animal Hospital,"28892 Crown Valley Pkwy, Laguna Niguel, CA 92677",28892 Crown Valley Pkwy,,Laguna Niguel,CA,92677,https://www.yelp.com/biz/vca-laguna-niguel-animal-hospital-laguna-niguel?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,19494951123,{},,,,,
Central Bark,"838 Poplar Pl S, Seattle, WA 98144",838 Poplar Pl S,,Seattle,WA,98144,https://www.yelp.com/biz/central-bark-seattle?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,12063253525,{},,,,,
Bone-a-Fide Dog Ranch,"7928 184th St SE, Snohomish, WA 98291",7928 184th St SE,,Snohomish,WA,98291,https://www.yelp.com/biz/bone-a-fide-dog-ranch-snohomish?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,12065019247,{},,,,,
Academy Of Canine Behavior,"4705 240th St SE, Bothell, WA 98021",4705 240th St SE,,Bothell,WA,98021,https://www.yelp.com/biz/academy-of-canine-behavior-bothell?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,14254869567,{},,,,,
Paradise Pet Lodge,"10324 Paradise Lake Rd, Woodinville, WA 98077",10324 Paradise Lake Rd,,Woodinville,WA,98077,https://www.yelp.com/biz/paradise-pet-lodge-woodinville?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,14254833647,{},,,,,
Doggy Haven Resort,"5303 W Interurban Blvd, Bothell, WA 98012",5303 W Interurban Blvd,,Bothell,WA,98012,https://www.yelp.com/biz/doggy-haven-resort-bothell?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,14254824472,{},,,,,
Cascade Kennels,"20005 178th Ave NE, Woodinville, WA 98072",20005 178th Ave NE,,Woodinville,WA,98072,https://www.yelp.com/biz/cascade-kennels-woodinville?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,14254839333,{},,,,,
Juanita Hills Animal Hospital,"13603 100th Ave NE, Kirkland, WA 98034",13603 100th Ave NE,,Kirkland,WA,98034,https://www.yelp.com/biz/juanita-hills-animal-hospital-kirkland?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,14252027430,{},,,,,
Bowwow Fun Towne,"18021 61st Ave NE, Kenmore, WA 98028",18021 61st Ave NE,,Kenmore,WA,98028,https://www.yelp.com/biz/bowwow-fun-towne-kenmore?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,14254816825,{},,,,,
PetSmart,"17585 Southcenter Pkwy, Tukwila, WA 98188",17585 Southcenter Pkwy,,Tukwila,WA,98188,https://www.yelp.com/biz/petsmart-tukwila?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,12065752373,{},,,,,
PetSmart,"17845 Garden Way NE, unit 11, Woodinville, WA 98072",17845 Garden Way NE,unit 11,Woodinville,WA,98072,https://www.yelp.com/biz/petsmart-woodinville?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,14254242098,{},,,,,
Suite Paws,"110 S Rogers Ln, Raleigh, NC 27610",110 S Rogers Ln,,Raleigh,NC,27610,https://www.yelp.com/biz/suite-paws-pet-resort-and-spa-raleigh?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,19192311112,{},,,,,
Preston Animal Hospital,"9638 Chapel Hill Rd, Morrisville, NC 27560",9638 Chapel Hill Rd,,Morrisville,NC,27560,https://www.yelp.com/biz/preston-animal-hospital-morrisville?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,19196781410,{},,,,,
Preston Animal Hospital,"9638 Chapel Hill Rd, Morrisville, NC 27560",9638 Chapel Hill Rd,,Morrisville,NC,27560,https://www.yelp.com/biz/preston-animal-hospital-morrisville?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,19196781410,{},,,,,
Suite Paws,"110 S Rogers Ln, Raleigh, NC 27610",110 S Rogers Ln,,Raleigh,NC,27610,https://www.yelp.com/biz/suite-paws-pet-resort-and-spa-raleigh?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,19192311112,{},,,,,
